rank_brand,brand,num_products,total_ratings,brand_weighted_score,simple_mean_product_rating
3794,ZXYMLZI,1,158.0,4.359042212029047,4.4
3795,VIENNOIS,1,158.0,4.359042212029047,4.4
3796,Blue Crane,1,158.0,4.359042212029047,4.4
3797,Kpajewelry,3,474.0,4.359042212029047,4.4
3798,Luzen,6,769.0,4.358894330060384,4.25
3799,Coxeer,2,233.0,4.3587725014557535,4.15
3800,Cheappu,1,156.0,4.358601805706779,4.4
3801,Hophen,7,230.0,4.358522643358216,4.542857142857143
3802,Amy & Annette,3,183.0,4.358519270012595,4.466666666666667
3803,YeGieonr,11,851.0,4.35845365242181,4.381818181818182
3804,ZiMOJiE,24,2366.0,4.358325177194664,4.175
3805,HENITAR,2,45.0,4.35831145670409,4.65
3806,Quatish,2,91.0,4.358281394579207,4.5
3807,Simpli Better,2,37.0,4.358253835166172,4.8
3808,Caramel,12,1570.0,4.358159225554733,3.966666666666667
3809,SUPRAONE,3,221.0,4.358113920740534,4.433333333333334
3810,Tenforie,6,153.0,4.3579624660704095,4.55
3811,TMS,7,797.0,4.357930062070506,3.957142857142857
3812,Sevendoo,2,164.0,4.357907419966152,4.7
3813,sedmart,11,4059.0,4.357891562987211,4.236363636363636
3814,UPD,2,54.0,4.3578313447092585,4.550000000000001
3815,Genuine Amber,12,2040.0,4.357663957729034,4.341666666666667
3816,Volin Crik,3,71.0,4.357654158832291,4.6000000000000005
3817,HHHbeauty,41,4402.0,4.357637537034647,4.248780487804877
3818,RaxCollection,4,3420.0,4.357511661999616,4.25
3819,YiYuYiHua,6,327.0,4.357376923197034,4.433333333333334
3820,HoazHoald,1,45.0,4.357332478152809,4.5
3821,Shop Elevated Lifestyle,1,45.0,4.357332478152809,4.5
3822,BAMBKIN,1,45.0,4.357332478152809,4.5
3823,Alea Collection,1,45.0,4.357332478152809,4.5
3824,TVOOD,1,45.0,4.357332478152809,4.5
3825,CAMIRUS,1,45.0,4.357332478152809,4.5
